台澎金馬地區語言使用狀況2010,,,,,
市縣,華語,閩南語,客家語,原住民語,其他
臺北市,93.2,73.5,3.5,0.5,3.2
新北市,92,82.9,2.4,0.9,2.4
基隆市,87.2,91.1,0.9,1.8,1.8
桃園市,93.4,58.2,17.1,1.3,1.3
新竹市,92,70.7,11.1,0.8,1.6
新竹縣,90.6,27.7,56,2,1.1
宜蘭縣,78.2,94.9,0.6,1.8,1
彰化縣,69.5,98.1,0.3,0.2,0.9
苗慄縣,79.4,45.8,52.4,1,0.5
南投縣,75.3,92,3.2,4.3,1.2
臺中市,87.1,89.9,3.5,0.6,1.4
云林縣,60,98.2,1.6,0.1,1.4
嘉義市,76.5,94.7,0.4,0.3,1
嘉義縣,61,97.5,0.8,0.8,3.6
高雄市,78.6,90.9,3,0.7,2.4
屏東縣,66.2,82.3,12,4.7,0.5
臺南市,71.7,95.8,0.5,0.3,2.7
澎湖縣,75,93.6,0.5,0.3,2.4
臺東縣,89.9,65.9,5.4,21.3,5.5
花蓮縣,90.8,60.9,10.8,16.9,1.6
金門縣,85.4,92.8,1.1,0.5,0.8
連江縣,96.6,44.7,3.9,1.6,24.1
